OpenGL Version: 4.0.0 - Build 10.18.10.4425
OpenGL Vendor: Intel
OpenGL Render: Intel(R) HD Graphics 4000
GLEW Version: 1.5.1
DiffX: 3 DiffY:8
DiffX: 2 DiffY:7
DiffX: 1 DiffY:4
DiffX: 1 DiffY:2
DiffX: 0 DiffY:1
DiffX: 1 DiffY:2
DiffX: 0 DiffY:4
DiffX: 1 DiffY:5
DiffX: 1 DiffY:4
DiffX: 0 DiffY:1
DiffX: 0 DiffY:1
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 1 DiffY:0
DiffX: 2 DiffY:1
DiffX: 17 DiffY:6
DiffX: 31 DiffY:7
DiffX: 38 DiffY:9
DiffX: 45 DiffY:6
DiffX: 48 DiffY:2
DiffX: 65 DiffY:0
DiffX: 49 DiffY:3
DiffX: 45 DiffY:3
DiffX: 47 DiffY:1
DiffX: 37 DiffY:1
DiffX: 44 DiffY:1
DiffX: 46 DiffY:1
DiffX: 44 DiffY:3
DiffX: 42 DiffY:4
DiffX: 34 DiffY:2
DiffX: 39 DiffY:0
DiffX: 46 DiffY:-3
DiffX: 39 DiffY:-1
DiffX: 39 DiffY:0
DiffX: 36 DiffY:-1
DiffX: 46 DiffY:-2
DiffX: 46 DiffY:-5
DiffX: 45 DiffY:-4
DiffX: 40 DiffY:-1
DiffX: 27 DiffY:0
DiffX: 23 DiffY:0
DiffX: 22 DiffY:0
DiffX: 25 DiffY:0
DiffX: 28 DiffY:0
DiffX: 32 DiffY:0
DiffX: 34 DiffY:0
DiffX: 37 DiffY:0
DiffX: 42 DiffY:0
DiffX: 90 DiffY:2
DiffX: 41 DiffY:1
DiffX: 30 DiffY:1
DiffX: 25 DiffY:0
DiffX: 14 DiffY:1
DiffX: 6 DiffY:1
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 2 DiffY:0
DiffX: 13 DiffY:0
DiffX: 19 DiffY:0
DiffX: 20 DiffY:0
DiffX: 16 DiffY:1
DiffX: 11 DiffY:1
DiffX: 5 DiffY:0
DiffX: 8 DiffY:0
DiffX: 22 DiffY:1
DiffX: 31 DiffY:1
DiffX: 29 DiffY:0
DiffX: 28 DiffY:0
DiffX: 19 DiffY:0
DiffX: 12 DiffY:0
DiffX: 19 DiffY:0
DiffX: 23 DiffY:-1
DiffX: 19 DiffY:-2
DiffX: 11 DiffY:-1
DiffX: 15 DiffY:0
DiffX: 23 DiffY:0
DiffX: 22 DiffY:0
DiffX: 12 DiffY:0
DiffX: 2 DiffY:0
DiffX: 2 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:-1
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: -1 DiffY:-1
DiffX: -1 DiffY:0
DiffX: 0 DiffY:0
DiffX: -1 DiffY:-1
DiffX: -3 DiffY:-3
DiffX: -13 DiffY:-7
DiffX: -19 DiffY:-8
DiffX: -24 DiffY:-9
DiffX: -21 DiffY:-8
DiffX: -20 DiffY:-9
DiffX: -15 DiffY:-7
DiffX: -2 DiffY:-1
DiffX: 0 DiffY:-2
DiffX: -2 DiffY:-6
DiffX: -4 DiffY:-9
DiffX: -2 DiffY:-5
DiffX: -1 DiffY:-1
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 3 DiffY:2
DiffX: 16 DiffY:8
DiffX: 19 DiffY:4
DiffX: 19 DiffY:0
DiffX: 18 DiffY:0
DiffX: 22 DiffY:0
DiffX: 17 DiffY:0
DiffX: 13 DiffY:4
DiffX: 7 DiffY:2
DiffX: 6 DiffY:4
DiffX: 5 DiffY:4
DiffX: 4 DiffY:3
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:1
DiffX: 0 DiffY:0
DiffX: -2 DiffY:3
DiffX: 0 DiffY:6
DiffX: -2 DiffY:5
DiffX: 0 DiffY:8
DiffX: 1 DiffY:11
DiffX: 1 DiffY:4
DiffX: 1 DiffY:4
DiffX: 2 DiffY:6
DiffX: 1 DiffY:3
DiffX: 0 DiffY:3
DiffX: 1 DiffY:2
DiffX: 0 DiffY:5
DiffX: 0 DiffY:4
DiffX: 0 DiffY:3
DiffX: 0 DiffY:1
DiffX: 0 DiffY:2
DiffX: 0 DiffY:2
DiffX: 0 DiffY:2
DiffX: 0 DiffY:0
DiffX: 0 DiffY:2
DiffX: -1 DiffY:3
DiffX: -1 DiffY:5
DiffX: -1 DiffY:3
DiffX: 0 DiffY:0
DiffX: 0 DiffY:1
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 0 DiffY:0
DiffX: 3 DiffY:-4
DiffX: 4 DiffY:-6
DiffX: 3 DiffY:-7
